"effect","group","term","estimate","std.error","statistic","matching","outcome","n_treated","n_comparison","data","category","indicator","exposure","step"
"fixed",NA,"int_avail_bin_CLE_1",0.0718401490435592,0.0259068901854933,2.77301322270577,TRUE,"DY_forest_share",233,145,"Short-term","Binary (any)"," CLE","Available",1
"fixed",NA,"int_avail_bin_EE_1",0.024303804827676,0.0239751071309028,1.01370995737281,TRUE,"DY_forest_share",475,176,"Short-term","Binary (any)"," EE","Available",1
"fixed",NA,"int_avail_bin_FE_1",0.0979811494481428,0.0458468399272547,2.13714074085825,TRUE,"DY_forest_share",125,73,"Short-term","Binary (any)"," FE","Available",1
"fixed",NA,"int_avail_bin_NCLE_1",-0.000244635368072483,0.0251266314628952,-0.00973609886521158,TRUE,"DY_forest_share",275,157,"Short-term","Binary (any)"," NCLE","Available",1
"fixed",NA,"int_avail_bin_RFAC_1",-0.00728462187059188,0.0456979917539088,-0.159407921245659,TRUE,"DY_forest_share",155,71,"Short-term","Binary (any)"," RFAC","Available",1
"fixed",NA,"int_avail_bin_TC_1",0.0847735433995062,0.0268736740808937,3.15452003861941,TRUE,"DY_forest_share",204,48,"Short-term","Binary (any)"," TC","Available",1
"fixed",NA,"int_avail_bin_OI_1",0.010187776256224,0.0311790731824461,0.326750452029463,TRUE,"DY_forest_share",199,103,"Short-term","Binary (any)"," OI","Available",1
"fixed",NA,"int_invol_bin_CLE_1",0.0772087119269494,0.0284433060992714,2.7144774119253,TRUE,"DY_forest_share",160,117,"Short-term","Binary (any)"," CLE","Involved",1
"fixed",NA,"int_invol_bin_EE_1",0.0424543315439138,0.0255481245635588,1.6617396489631,TRUE,"DY_forest_share",218,162,"Short-term","Binary (any)"," EE","Involved",1
"fixed",NA,"int_invol_bin_FE_1",0.0127504764197596,0.0584989020065572,0.217960952811224,TRUE,"DY_forest_share",54,40,"Short-term","Binary (any)"," FE","Involved",1
"fixed",NA,"int_invol_bin_NCLE_1",0.0880223266017332,0.0287686859640356,3.05965752873704,TRUE,"DY_forest_share",155,107,"Short-term","Binary (any)"," NCLE","Involved",1
"fixed",NA,"int_invol_bin_RFAC_1",-0.0401044698341979,0.0914039370341699,-0.438760857961791,TRUE,"DY_forest_share",31,27,"Short-term","Binary (any)"," RFAC","Involved",1
"fixed",NA,"int_invol_bin_TC_1",0.0410680880590762,0.0195323727921241,2.10256523854776,TRUE,"DY_forest_share",118,82,"Short-term","Binary (any)"," TC","Involved",1
"fixed",NA,"int_invol_bin_OI_1",0.0370512156758017,0.0305269313039131,1.21372224764211,TRUE,"DY_forest_share",147,103,"Short-term","Binary (any)"," OI","Involved",1
"fixed",NA,"int_chnge_bin_CLE_1",0.162367559471246,0.0522946226564772,3.1048614795031,TRUE,"DY_forest_share",59,45,"Short-term","Binary (any)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_bin_EE_1",-0.00642379359619725,0.0570991378523042,-0.112502462170504,TRUE,"DY_forest_share",53,46,"Short-term","Binary (any)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_bin_FE_1",0.0111570370860188,0.101345347421444,0.110089287469926,TRUE,"DY_forest_share",20,17,"Short-term","Binary (any)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_bin_NCLE_1",0.0797831955712236,0.0330120748041781,2.41678828260519,TRUE,"DY_forest_share",77,66,"Short-term","Binary (any)"," NCLE","Changed behavior",1
"fixed",NA,"int_chnge_bin_RFAC_1",0.200565127633094,0.157288045727394,1.27514539776727,TRUE,"DY_forest_share",13,11,"Short-term","Binary (any)"," RFAC","Changed behavior",1
"fixed",NA,"int_chnge_bin_TC_1",0.10296234180718,0.0591046615028563,1.74203420151901,TRUE,"DY_forest_share",17,17,"Short-term","Binary (any)"," TC","Changed behavior",1
"fixed",NA,"int_chnge_bin_OI_1",-0.00238315241370354,0.0445389976037852,-0.0535070958467419,TRUE,"DY_forest_share",46,41,"Short-term","Binary (any)"," OI","Changed behavior",1
"fixed",NA,"int_avail_sum_CLE_1",0.0446461600212043,0.0263491197690397,1.694408026247,TRUE,"DY_forest_share",208,125,"Short-term","Count (sum)"," CLE","Available",1
"fixed",NA,"int_avail_sum_EE_1",0.00927817884565328,0.0234069950884347,0.396384875999637,TRUE,"DY_forest_share",459,179,"Short-term","Count (sum)"," EE","Available",1
"fixed",NA,"int_avail_sum_FE_1",0.0979811494481428,0.0458468399272547,2.13714074085825,TRUE,"DY_forest_share",125,73,"Short-term","Count (sum)"," FE","Available",1
"fixed",NA,"int_avail_sum_NCLE_1",0.0349316795429596,0.0358709497517748,0.97381529579465,TRUE,"DY_forest_share",93,77,"Short-term","Count (sum)"," NCLE","Available",1
"fixed",NA,"int_avail_sum_NCLE_2",-0.00526299370454131,0.0302577828266814,-0.173938511446397,TRUE,"DY_forest_share",136,85,"Short-term","Count (sum)"," NCLE","Available",2
"fixed",NA,"int_avail_sum_NCLE_3",-0.0268010834635053,0.0662112265656387,-0.404781558259398,TRUE,"DY_forest_share",45,34,"Short-term","Count (sum)"," NCLE","Available",3
"fixed",NA,"int_avail_sum_NCLE_4",0.0379011843780474,0.0268441723761843,1.4118961779456,TRUE,"DY_forest_share",32,27,"Short-term","Count (sum)"," NCLE","Available",4
"fixed",NA,"int_avail_sum_NCLE_5",0.0168051699932629,0.0216751382080736,0.775320084787431,TRUE,"DY_forest_share",63,36,"Short-term","Count (sum)"," NCLE","Available",5
"fixed",NA,"int_avail_sum_RFAC_1",0.0102952234659634,0.0449974344115999,0.228795788039626,TRUE,"DY_forest_share",154,68,"Short-term","Count (sum)"," RFAC","Available",1
"fixed",NA,"int_avail_sum_TC_1",0.0847735433995062,0.0268736740808937,3.15452003861941,TRUE,"DY_forest_share",204,48,"Short-term","Count (sum)"," TC","Available",1
"fixed",NA,"int_avail_sum_OI_1",0.00849280484356285,0.0353736216024908,0.240088643990154,TRUE,"DY_forest_share",163,81,"Short-term","Count (sum)"," OI","Available",1
"fixed",NA,"int_avail_sum_OI_2",-0.0243353058654021,0.0421943869208337,-0.576742729099505,TRUE,"DY_forest_share",85,52,"Short-term","Count (sum)"," OI","Available",2
"fixed",NA,"int_invol_sum_CLE_1",0.0539276888471518,0.0277479815628233,1.94348150062937,TRUE,"DY_forest_share",153,112,"Short-term","Count (sum)"," CLE","Involved",1
"fixed",NA,"int_invol_sum_EE_1",0.0262081863513693,0.0265190488240855,0.988277766869454,TRUE,"DY_forest_share",213,163,"Short-term","Count (sum)"," EE","Involved",1
"fixed",NA,"int_invol_sum_FE_1",0.0127504764197596,0.0584989020065572,0.217960952811224,TRUE,"DY_forest_share",54,40,"Short-term","Count (sum)"," FE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_1",0.0203431175695065,0.0356513104468156,0.570613458931733,TRUE,"DY_forest_share",99,79,"Short-term","Count (sum)"," NCLE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_2",0.0839268232141418,0.0322602060966511,2.60155880476083,TRUE,"DY_forest_share",59,47,"Short-term","Count (sum)"," NCLE","Involved",2
"fixed",NA,"int_invol_sum_NCLE_3",0.0030008810562877,0.0211019725989536,0.142208556200879,TRUE,"DY_forest_share",16,15,"Short-term","Count (sum)"," NCLE","Involved",3
"fixed",NA,"int_invol_sum_NCLE_4",0.0691906588269388,0.04944149770882,1.3994450417831,TRUE,"DY_forest_share",13,12,"Short-term","Count (sum)"," NCLE","Involved",4
"fixed",NA,"int_invol_sum_NCLE_5",-0.0191122130723905,0.0370387970212489,-0.516005232605853,TRUE,"DY_forest_share",10,10,"Short-term","Count (sum)"," NCLE","Involved",5
"fixed",NA,"int_invol_sum_RFAC_1",-0.0401044698341979,0.0914039370341699,-0.438760857961791,TRUE,"DY_forest_share",31,27,"Short-term","Count (sum)"," RFAC","Involved",1
"fixed",NA,"int_invol_sum_TC_1",0.0410680880590762,0.0195323727921241,2.10256523854776,TRUE,"DY_forest_share",118,82,"Short-term","Count (sum)"," TC","Involved",1
"fixed",NA,"int_invol_sum_OI_1",-0.0233034642670058,0.0363381227592413,-0.641295215534473,TRUE,"DY_forest_share",128,91,"Short-term","Count (sum)"," OI","Involved",1
"fixed",NA,"int_invol_sum_OI_2",0.024405806530395,0.0438715641324135,0.556301262857491,TRUE,"DY_forest_share",41,32,"Short-term","Count (sum)"," OI","Involved",2
"fixed",NA,"int_chnge_sum_CLE_1",0.0693109465403132,0.0521043107376478,1.33023440016898,TRUE,"DY_forest_share",53,43,"Short-term","Count (sum)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_EE_1",-0.00642379359619725,0.0570991378523042,-0.112502462170504,TRUE,"DY_forest_share",53,46,"Short-term","Count (sum)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_sum_FE_1",0.0111570370860188,0.101345347421444,0.110089287469926,TRUE,"DY_forest_share",20,17,"Short-term","Count (sum)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_1",0.0989743598889161,0.0372101422314541,2.65987588204519,TRUE,"DY_forest_share",75,66,"Short-term","Count (sum)"," NCLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_2",-0.0625159793128308,0.0418968448539397,-1.49214050677977,TRUE,"DY_forest_share",5,5,"Short-term","Count (sum)"," NCLE","Changed behavior",2
"fixed",NA,"int_chnge_sum_RFAC_1",0.200565127633094,0.157288045727394,1.27514539776727,TRUE,"DY_forest_share",13,11,"Short-term","Count (sum)"," RFAC","Changed behavior",1
"fixed",NA,"int_chnge_sum_TC_1",0.10296234180718,0.0591046615028563,1.74203420151901,TRUE,"DY_forest_share",17,17,"Short-term","Count (sum)"," TC","Changed behavior",1
"fixed",NA,"int_chnge_sum_OI_1",0.037254590665907,0.0370984359218564,1.00420920020401,TRUE,"DY_forest_share",45,40,"Short-term","Count (sum)"," OI","Changed behavior",1
"fixed",NA,"int_cat_tot_avail_1",-0.0153604848396661,0.0248454219680397,-0.618242059218204,TRUE,"DY_forest_share",336,181,"Short-term","Count (sum)","Total","Available",1
"fixed",NA,"int_cat_tot_avail_2",-0.0323277830069188,0.052904311224035,-0.611061409910804,TRUE,"DY_forest_share",163,41,"Short-term","Count (sum)","Total","Available",2
"fixed",NA,"int_cat_tot_avail_3",-0.0830703161128667,0.0397469510652668,-2.08997958048305,TRUE,"DY_forest_share",88,60,"Short-term","Count (sum)","Total","Available",3
"fixed",NA,"int_cat_tot_avail_4",0.0376449949249616,0.0238523530999257,1.57825078168404,TRUE,"DY_forest_share",166,111,"Short-term","Count (sum)","Total","Available",4
"fixed",NA,"int_cat_tot_avail_6",0.00327211046978714,0.036559342193899,0.0895013496805529,TRUE,"DY_forest_share",76,65,"Short-term","Count (sum)","Total","Available",6
"fixed",NA,"int_cat_tot_avail_7",0.0900556230817622,0.0321135130922385,2.80429060573655,TRUE,"DY_forest_share",94,60,"Short-term","Count (sum)","Total","Available",7
"fixed",NA,"int_cat_pos_avail_1",-0.0526925874565855,0.038419053460072,-1.37152227113944,TRUE,"DY_forest_share",154,99,"Short-term","Count (sum)","Positive","Available",1
"fixed",NA,"int_cat_pos_avail_2",0.00834792930929208,0.044353196797983,0.188214828061091,TRUE,"DY_forest_share",78,59,"Short-term","Count (sum)","Positive","Available",2
"fixed",NA,"int_cat_pos_avail_3",0.0698667051376343,0.0286412910482634,2.43936996484907,TRUE,"DY_forest_share",149,104,"Short-term","Count (sum)","Positive","Available",3
"fixed",NA,"int_cat_pos_avail_5",0.0379011843780474,0.0268441723761843,1.4118961779456,TRUE,"DY_forest_share",32,27,"Short-term","Count (sum)","Positive","Available",5
"fixed",NA,"int_cat_pos_avail_6",0.0168051699932629,0.0216751382080736,0.775320084787431,TRUE,"DY_forest_share",63,36,"Short-term","Count (sum)","Positive","Available",6
"fixed",NA,"int_cat_ena_avail_1",0.00196461573703149,0.0202243309585663,0.097141197948966,TRUE,"DY_forest_share",470,230,"Short-term","Count (sum)","Enabling","Available",1
"fixed",NA,"int_cat_ena_avail_2",0.0296288870924513,0.0309762146397553,0.956504448236396,TRUE,"DY_forest_share",232,118,"Short-term","Count (sum)","Enabling","Available",2
"fixed",NA,"int_cat_ena_avail_3",0.109781483461417,0.0456158143895382,2.40665402844577,TRUE,"DY_forest_share",110,80,"Short-term","Count (sum)","Enabling","Available",3
"fixed",NA,"int_cat_neg_avail_1",0.0102952234659634,0.0449974344115999,0.228795788039626,TRUE,"DY_forest_share",154,68,"Short-term","Count (sum)","Negative","Available",1
"fixed",NA,"int_cat_tot_invol_1",0.014462027634278,0.0228419181174669,0.633135429341158,TRUE,"DY_forest_share",269,194,"Short-term","Count (sum)","Total","Involved",1
"fixed",NA,"int_cat_tot_invol_2",0.067056786892518,0.0314181818961229,2.13433059602959,TRUE,"DY_forest_share",122,106,"Short-term","Count (sum)","Total","Involved",2
"fixed",NA,"int_cat_tot_invol_3",0.067225375259128,0.0361596673467867,1.85912593206148,TRUE,"DY_forest_share",76,67,"Short-term","Count (sum)","Total","Involved",3
"fixed",NA,"int_cat_tot_invol_4",0.0445431371390735,0.0256210062328864,1.73853972534065,TRUE,"DY_forest_share",91,79,"Short-term","Count (sum)","Total","Involved",4
"fixed",NA,"int_cat_tot_invol_5",0.0966894256082175,0.0551489951549981,1.7532400243462,TRUE,"DY_forest_share",15,15,"Short-term","Count (sum)","Total","Involved",5
"fixed",NA,"int_cat_tot_invol_6",0.112124169086356,0.0326578940585226,3.43329453165078,TRUE,"DY_forest_share",15,15,"Short-term","Count (sum)","Total","Involved",6
